level_0,index,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,0,dingle,36,PH,1554159545,80,11.0,122.67,77.89,12.19
1,1,bredasdorp,80,ZA,1554158740,88,-34.53,20.04,55.0,10.4
2,2,los llanos de aridane,90,ES,1554159360,77,28.66,-17.92,54.77,6.93
3,3,qaanaaq,0,GL,1554159385,74,77.48,-69.36,-3.56,7.49
4,4,punta arenas,90,CL,1554159146,93,-53.16,-70.91,50.0,9.17
5,5,port alfred,92,ZA,1554159282,91,-33.59,26.89,59.0,4.0
6,6,kapaa,20,US,1554159211,65,22.08,-159.32,75.76,9.17
7,7,cherskiy,48,RU,1554159550,76,68.75,161.3,27.67,6.15
8,8,georgetown,20,GY,1554156000,69,6.8,-58.16,82.4,11.41
9,9,avarua,36,CK,1554157800,78,-21.21,-159.78,80.6,9.17
10,10,eureka,75,US,1554159331,100,40.8,-124.16,56.66,9.17
11,11,barrow,0,AR,1554159378,50,-38.31,-60.23,73.57,11.74
12,12,reforma,5,MX,1554159016,7,24.02,-104.65,79.34,3.36
13,13,ushuaia,75,AR,1554156000,81,-54.81,-68.31,51.8,5.14
14,14,hithadhoo,68,MV,1554159555,100,-0.6,73.08,82.3,7.72
15,15,tuktoyaktuk,75,CA,1554157560,78,69.44,-133.03,10.4,11.41
16,16,puerto ayora,20,EC,1554158712,70,-0.74,-90.35,83.17,9.17
17,17,faanui,48,PF,1554159556,100,-16.48,-151.75,84.37,6.26
18,18,rikitea,0,PF,1554159556,100,-23.12,-134.97,76.27,14.99
19,19,gat,0,SN,1554157800,77,14.69,-16.54,68.0,20.8
20,20,busselton,0,AU,1554159375,70,-33.64,115.35,59.32,6.82
21,21,arraial do cabo,20,BR,1554156000,69,-22.97,-42.02,77.0,5.82
22,22,tempio pausania,0,IT,1554159544,93,40.9,9.1,46.06,2.24
23,23,ilulissat,20,GL,1554155400,43,69.22,-51.1,15.8,16.11
24,24,qasigiannguit,20,GL,1554155400,43,68.82,-51.19,15.8,16.11
25,25,vao,0,EE,1554159559,81,59.1,26.19,26.32,8.72
26,26,nenjiang,0,CN,1554159559,37,49.17,125.23,25.87,7.16
27,27,coihaique,0,CL,1554156000,76,-45.58,-72.07,55.4,28.86
28,28,pervomaysk,8,RU,1554159560,75,54.87,43.81,17.95,3.13
29,29,wuwei,68,CN,1554159560,52,37.93,102.64,27.67,3.69
30,30,mataura,92,NZ,1554159004,76,-46.19,168.86,53.01,8.01
31,31,bethel,90,US,1554155760,76,60.79,-161.76,43.2,4.36
32,32,butaritari,80,KI,1554159562,100,3.07,172.79,83.29,10.96
33,33,lebu,75,ET,1554156000,63,8.96,38.73,62.6,3.02
34,34,lorengau,12,PG,1554159562,92,-2.02,147.27,85.0,11.18
35,35,provideniya,75,RU,1554157800,80,64.42,-173.23,33.8,8.95
36,36,nanortalik,92,GL,1554159563,100,60.14,-45.24,26.95,28.52
37,37,portland,90,US,1554159375,42,45.52,-122.67,63.01,5.82
38,38,tura,20,IN,1554159383,95,25.52,90.21,62.05,4.25
39,39,coro,20,VE,1554159563,75,11.41,-69.67,79.6,11.74
40,40,bull savanna,100,JM,1554159426,91,17.89,-77.59,73.66,1.57
41,41,castro,90,CL,1554156000,100,-42.48,-73.76,51.8,14.99
42,42,east london,88,ZA,1554159565,100,-33.02,27.91,64.3,17.78
43,43,kenora,75,CA,1554159122,41,49.76,-94.48,37.87,19.46
44,44,kangaatsiaq,0,GL,1554159566,100,68.31,-53.46,17.41,13.76
45,45,hofn,0,IS,1554159566,100,64.25,-15.21,34.33,18.34
46,46,saint-philippe,1,CA,1554159555,34,45.36,-73.48,34.61,11.74
47,47,cape town,0,ZA,1554159127,54,-33.93,18.42,59.0,20.8
48,48,torbay,90,CA,1554159333,93,47.66,-52.73,48.9,19.46
49,49,vaini,0,IN,1554159377,90,15.34,74.49,63.22,1.12
50,50,dunedin,44,NZ,1554159097,58,-45.87,170.5,54.0,13.0
51,51,port lincoln,0,AU,1554159567,88,-34.72,135.86,65.74,12.64
52,52,kununurra,0,AU,1554158940,77,-15.77,128.74,68.0,10.18
53,53,dikson,88,RU,1554159568,100,73.51,80.55,26.5,26.28
54,54,padang,20,ID,1554159568,100,-0.92,100.36,82.75,6.15
55,55,bluff,0,AU,1554159398,53,-23.58,149.07,76.54,12.64
56,56,price,20,US,1554159544,22,39.6,-110.81,52.52,5.82
57,57,ancud,90,CL,1554156000,100,-41.87,-73.83,51.8,14.99
58,58,sao filipe,0,CV,1554159569,99,14.9,-24.5,70.24,13.31
59,59,upernavik,76,GL,1554159569,100,72.79,-56.15,16.42,7.16
60,60,big bend,92,SZ,1554156000,83,-26.79,31.94,67.68,12.75
61,61,oia,0,ES,1554159553,93,42.0,-8.88,53.35,3.36
62,62,atuona,36,PF,1554159570,100,-9.8,-139.03,82.39,10.51
63,63,rosamorada,0,MX,1554159570,38,22.12,-105.21,80.5,3.47
64,64,anloga,20,GH,1554156000,83,5.79,0.9,84.2,10.29
65,65,hobart,75,AU,1554159079,81,-42.88,147.33,51.82,8.05
66,66,carahue,75,CL,1554156000,67,-38.71,-73.16,60.8,6.93
67,67,west bay,0,GB,1554159544,93,50.71,-2.76,41.77,1.12
68,68,nueva loja,0,EC,1554156000,70,0.08,-76.88,88.12,2.24
69,69,san quintin,48,PH,1554159396,73,17.54,120.52,76.54,3.58
70,70,jamestown,0,AU,1554159562,69,-33.21,138.6,61.69,5.59
